symptoms,disease,dos,donts,severity
"body_ache, cough, dizziness, fatigue, fever, joint_pain, loss_appetite, shortness_breath, skin_rash",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, itching, joint_pain, loss_appetite, shortness_breath, vomiting",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath, vomiting",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, dizziness, fatigue, fever, itching, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, headache, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, joint_pain, loss_appetite, muscle_pain, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, chills, cough, fatigue, fever, loss_appetite, shortness_breath, sneezing",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, chest_pain, cough, fatigue, fever, loss_appetite, nausea, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, joint_pain, loss_appetite, nausea, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath, skin_rash",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath, vomiting",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, diarrhea, fatigue, fever, headache, itching, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, chills, cough, diarrhea, fatigue, fever, loss_appetite, shortness_breath, skin_rash",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, chest_pain, chills, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath, sneezing, vomiting",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath, skin_rash, sneezing, vomiting",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, chills, cough, fatigue, fever, itching, loss_appetite, muscle_pain, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, joint_pain, loss_appetite, nausea, shortness_breath, sneezing",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, diarrhea, fatigue, fever, loss_appetite, shortness_breath, vomiting",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, chest_pain, cough, fatigue, fever, loss_appetite, muscle_pain, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, diarrhea, fatigue, fever, loss_appetite, runny_nose, shortness_breath, skin_rash",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, diarrhea, fatigue, fever, itching, loss_appetite, nausea, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, joint_pain, loss_appetite, nausea, runny_nose, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, runny_nose, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, joint_pain, loss_appetite, nausea, shortness_breath, sneezing",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, nausea, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, nausea, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, dizziness, fatigue, fever, loss_appetite, shortness_breath, sore_throat",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, headache, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, joint_pain, shortness_breath, sore_throat",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, muscle_pain, shortness_breath, skin_rash",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, dizziness, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, itching, joint_pain, nausea, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, diarrhea, fatigue, fever, runny_nose, shortness_breath, vomiting",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, dizziness, fatigue, fever, itching, runny_nose, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, loss_appetite, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, headache, itching, muscle_pain, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, nausea, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, chills, cough, diarrhea, fatigue, fever, runny_nose, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, dizziness, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, joint_pain, loss_appetite, muscle_pain, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, muscle_pain, shortness_breath, sneezing",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, diarrhea, fatigue, fever, shortness_breath, sore_throat",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, itching, muscle_pain, shortness_breath, skin_rash",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath, sneezing",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath, sneezing",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, headache, nausea, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, loss_appetite, nausea, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, joint_pain, shortness_breath, skin_rash",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, headache, shortness_breath, sore_throat",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, itching, joint_pain, runny_nose, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, chills, cough, fatigue, fever, shortness_breath, skin_rash",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, dizziness, fatigue, fever, joint_pain, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath, vomiting",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, joint_pain, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, joint_pain, shortness_breath, skin_rash, sneezing",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, dizziness, fatigue, fever, headache, loss_appetite, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, joint_pain, muscle_pain, shortness_breath, sore_throat",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath, sore_throat, vomiting",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, loss_appetite, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath, sore_throat",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, runny_nose, shortness_breath, sneezing",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, joint_pain, shortness_breath, skin_rash, sore_throat",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath, skin_rash",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath, vomiting",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"body_ache, chest_pain, cough, fatigue, fever, shortness_breath",Bronchitis,Use humidifier|Drink warm liquids|Take prescribed cough syrup|Rest adequately|Use steam inhalation,Avoid smoking|Avoid air pollution|Avoid cold air|Avoid irritants|Dont ignore persistent cough,High
"chest_pain, cough, fatigue, shortness_breath, sneezing, wheezing",Asthma,Use inhaler regularly|Avoid triggers|Stay hydrated|Exercise moderately|Maintain air quality,Avoid allergens|Avoid strenuous exercise|Avoid pollution|Avoid smoking|Dont skip medications,High
"chest_pain, cough, dizziness, fatigue, shortness_breath, sore_throat, wheezing",Asthma,Use inhaler regularly|Avoid triggers|Stay hydrated|Exercise moderately|Maintain air quality,Avoid allergens|Avoid strenuous exercise|Avoid pollution|Avoid smoking|Dont skip medications,High
"chest_pain, cough, fatigue, muscle_pain, shortness_breath, skin_rash, sore_throat, wheezing",Asthma,Use inhaler regularly|Avoid triggers|Stay hydrated|Exercise moderately|Maintain air quality,Avoid allergens|Avoid strenuous exercise|Avoid pollution|Avoid smoking|Dont skip medications,High
"chest_pain, cough, fatigue, shortness_breath, sneezing, wheezing",Asthma,Use inhaler regularly|Avoid triggers|Stay hydrated|Exercise moderately|Maintain air quality,Avoid allergens|Avoid strenuous exercise|Avoid pollution|Avoid smoking|Dont skip medications,High
"chest_pain, cough, fatigue, shortness_breath, wheezing",Asthma,Use inhaler regularly|Avoid triggers|Stay hydrated|Exercise moderately|Maintain air quality,Avoid allergens|Avoid strenuous exercise|Avoid pollution|Avoid smoking|Dont skip medications,High
"chest_pain, cough, fatigue, muscle_pain, shortness_breath, wheezing",Asthma,Use inhaler regularly|Avoid triggers|Stay hydrated|Exercise moderately|Maintain air quality,Avoid allergens|Avoid strenuous exercise|Avoid pollution|Avoid smoking|Dont skip medications,High
"chest_pain, cough, fatigue, nausea, shortness_breath, skin_rash, vomiting, wheezing",Asthma,Use inhaler regularly|Avoid triggers|Stay hydrated|Exercise moderately|Maintain air quality,Avoid allergens|Avoid strenuous exercise|Avoid pollution|Avoid smoking|Dont skip medications,High
"chest_pain, chills, cough, fatigue, shortness_breath, skin_rash, wheezing",Asthma,Use inhaler regularly|Avoid triggers|Stay hydrated|Exercise moderately|Maintain air quality,Avoid allergens|Avoid strenuous exercise|Avoid pollution|Avoid smoking|Dont skip medications,High
"chest_pain, cough, dizziness, fatigue, loss_appetite, shortness_breath, wheezing",Asthma,Use inhaler regularly|Avoid triggers|Stay hydrated|Exercise moderately|Maintain air quality,Avoid allergens|Avoid strenuous exercise|Avoid pollution|Avoid smoking|Dont skip medications,High
"chest_pain, cough, fatigue, shortness_breath, wheezing",Asthma,Use inhaler regularly|Avoid triggers|Stay hydrated|Exercise moderately|Maintain air quality,Avoid allergens|Avoid strenuous exercise|Avoid pollution|Avoid smoking|Dont skip medications,High
